#shift stepIter stepRayleigh eig(iter) eig(rayleigh)
0 1 1 2 2
1 14 33 2 2
2 21 34 2 2
3 28 35 2 2
4 35 36 2 2
5 42 37 2 2
6 48 37 2 2
7 54 38 2 2
8 60 38 1.99999 2
9 67 38 1.99999 2
10 73 38 1.99999 2
11 79 39 1.99999 2
12 85 39 1.99999 2
13 90 39 1.99999 2
14 96 39 1.99999 2
15 102 39 1.99999 2
16 108 40 1.99999 2
17 113 40 1.99999 2
18 119 40 1.99999 2
19 125 40 1.99999 2
20 130 40 1.99999 2
21 136 40 1.99999 2
22 141 40 1.99999 2
23 147 41 1.99999 2
24 152 41 1.99998 2
25 158 41 1.99998 2
26 163 41 1.99998 2
27 169 41 1.99998 2
28 174 41 1.99998 2
29 179 41 1.99998 2
30 185 41 1.99998 2
31 190 41 1.99998 2
32 195 41 1.99998 2
33 200 41 1.99998 2
34 206 41 1.99998 2
35 211 42 1.99998 2
36 216 42 1.99998 2
37 221 42 1.99998 2
38 226 42 1.99997 2
39 231 42 1.99997 2
40 237 42 1.99997 2
41 242 42 1.99997 2
42 247 42 1.99997 2
43 252 42 1.99997 2
44 257 42 1.99997 2
45 262 42 1.99997 2
46 267 42 1.99997 2
47 272 42 1.99997 2
48 277 42 1.99997 2
49 282 42 1.99997 2
50 287 42 1.99997 2
51 292 42 1.99997 2
52 297 43 1.99997 2
53 302 43 1.99997 2
54 307 43 1.99996 2
55 312 43 1.99996 2
56 316 43 1.99996 2
57 321 43 1.99996 2
58 326 43 1.99996 2
59 331 43 1.99996 2
60 336 43 1.99996 2
61 341 43 1.99996 2
62 346 43 1.99996 2
63 350 43 1.99996 2
64 355 43 1.99996 2
65 360 43 1.99996 2
66 365 43 1.99996 2
67 370 43 1.99996 2
68 374 43 1.99995 2
69 379 43 1.99995 2
70 384 43 1.99995 2
71 389 43 1.99995 2
72 393 43 1.99995 2
73 398 43 1.99995 2
74 403 43 1.99995 2
75 407 43 1.99995 2
76 412 43 1.99995 2
77 417 43 1.99995 2
78 421 44 1.99995 2
79 426 44 1.99995 2
80 431 44 1.99995 2
81 435 44 1.99995 2
82 440 44 1.99995 2
83 445 44 1.99995 2
84 449 44 1.99994 2
85 454 44 1.99994 2
86 459 44 1.99994 2
87 463 44 1.99994 2
88 468 44 1.99994 2
89 472 44 1.99994 2
90 477 44 1.99994 2
91 482 44 1.99994 2
92 486 44 1.99994 2
93 491 44 1.99994 2
94 495 44 1.99994 2
95 500 44 1.99994 2
96 504 44 1.99994 2
97 509 44 1.99994 2
98 513 44 1.99993 2
99 518 44 1.99993 2
100 522 44 1.99993 2
101 527 44 1.99993 2
102 531 44 1.99993 2
103 536 44 1.99993 2
104 540 44 1.99993 2
105 545 44 1.99993 2
106 549 44 1.99993 2
107 554 44 1.99993 2
108 558 44 1.99993 2
109 563 44 1.99993 2
110 567 44 1.99993 2
111 571 44 1.99993 2
112 576 44 1.99993 2
113 580 44 1.99992 2
114 585 44 1.99992 2
115 589 44 1.99992 2
116 594 44 1.99992 2
117 598 45 1.99992 2
118 602 45 1.99992 2
119 607 45 1.99992 2
120 611 45 1.99992 2
121 616 45 1.99992 2
122 620 45 1.99992 2
123 624 45 1.99992 2
124 629 45 1.99992 2
125 633 45 1.99992 2
126 637 45 1.99992 2
127 642 45 1.99992 2
128 646 45 1.99991 2
129 650 45 1.99991 2
130 655 45 1.99991 2
131 659 45 1.99991 2
132 663 45 1.99991 2
133 668 45 1.99991 2
134 672 45 1.99991 2
135 676 45 1.99991 2
136 681 45 1.99991 2
137 685 45 1.99991 2
138 689 45 1.99991 2
139 693 45 1.99991 2
140 698 45 1.99991 2
141 702 45 1.99991 2
142 706 45 1.99991 2
143 711 45 1.99991 2
144 715 45 1.9999 2
145 719 45 1.9999 2
146 723 45 1.9999 2
147 728 45 1.9999 2
148 732 45 1.9999 2
149 736 45 1.9999 2
150 740 45 1.9999 2
151 744 45 1.9999 2
152 749 45 1.9999 2
153 753 45 1.9999 2
154 757 45 1.9999 2
155 761 45 1.9999 2
156 766 45 1.9999 2
157 770 45 1.9999 2
158 774 45 1.99989 2
159 778 45 1.99989 2
160 782 45 1.99989 2
161 787 45 1.99989 2
162 791 45 1.99989 2
163 795 45 1.99989 2
164 799 45 1.99989 2
165 803 45 1.99989 2
166 807 45 1.99989 2
167 812 45 1.99989 2
168 816 45 1.99989 2
169 820 45 1.99989 2
170 824 45 1.99989 2
171 828 45 1.99989 2
172 832 45 1.99988 2
173 836 45 1.99988 2
174 841 45 1.99988 2
175 845 46 1.99988 2
176 849 46 1.99988 2
177 853 46 1.99988 2
178 857 46 1.99988 2
179 861 46 1.99988 2
180 865 46 1.99988 2
181 869 46 1.99988 2
182 874 46 1.99988 2
183 878 46 1.99988 2
184 882 46 1.99988 2
185 886 46 1.99988 2
186 890 46 1.99988 2
187 894 46 1.99988 2
188 898 46 1.99987 2
189 902 46 1.99987 2
190 906 46 1.99987 2
191 910 46 1.99987 2
192 914 46 1.99987 2
193 918 46 1.99987 2
194 922 46 1.99987 2
195 927 46 1.99987 2
196 931 46 1.99987 2
197 935 46 1.99987 2
198 939 46 1.99987 2
199 943 46 1.99987 2
200 947 46 1.99987 2
201 951 46 1.99987 2
202 955 46 1.99987 2
203 959 46 1.99986 2
204 963 46 1.99986 2
205 967 46 1.99986 2
206 971 46 1.99986 2
207 975 46 1.99986 2
208 979 46 1.99986 2
209 983 46 1.99986 2
210 987 46 1.99986 2
211 991 46 1.99986 2
212 995 46 1.99986 2
213 999 46 1.99986 2
214 1000 46 1.99985 2
215 1000 46 1.99985 2
216 1000 46 1.99984 2
217 1000 46 1.99984 2
218 1000 46 1.99983 2
219 1000 46 1.99983 2
220 1000 46 1.99982 2
221 1000 46 1.99982 2
222 1000 46 1.99981 2
223 1000 46 1.99981 2
224 1000 46 1.9998 2
225 1000 46 1.9998 2
226 1000 46 1.99979 2
227 1000 46 1.99978 2
228 1000 46 1.99978 2
229 1000 46 1.99977 2
230 1000 46 1.99976 2
231 1000 46 1.99976 2
232 1000 46 1.99975 2
233 1000 46 1.99974 2
234 1000 46 1.99974 2
235 1000 46 1.99973 2
236 1000 46 1.99972 2
237 1000 46 1.99971 2
